cabinet;wikidata_id;location;start;end;GL_A;GL_D;GL_IA;GL_KP;GL_N;GL_NQ;GL_PI;GL_SIU;FO_A;FO_B;FO_C;FO_D;FO_E;FO_F;FO_H
nielsen_1;Q133576206;GL;2025-04-07;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
egede_2;Q111486937;GL;2022-04-05;2025-04-07;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
egede_1;Q106797236;GL;2021-04-23;2022-04-05;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA
kielsen_7;Q105834380;GL;2021-02-08;2021-04-23;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_6;Q96385892;GL;2020-05-29;2021-02-08;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_5;Q60747425;GL;2019-04-09;2020-05-29;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_4;Q95736906;GL;2018-10-05;2019-04-09;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_3;Q56863492;GL;2018-05-15;2018-10-05;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_2;Q48743208;GL;2016-10-27;2018-05-15;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_1-2;Q23022475;GL;2016-02-02;2016-10-27;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_1-1;Q18647396;GL;2014-12-12;2016-02-02;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_0;Q99736347;GL;2014-10-01;2014-12-12;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
hammond_2;Q99736342;GL;2013-11-05;2014-10-01;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
hammond_1;Q12333085;GL;2013-04-05;2013-11-05;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;NA;NA;NA;NA;NA;NA;NA
kleist_1;Q7604603;GL;2009-06-12;2013-04-05;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA
enoksen_5;Q7604757;GL;2007-05-01;2009-06-12;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
enoksen_4;Q99673310;GL;2005-12-01;2007-05-01;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
enoksen_3;Q99672345;GL;2003-09-13;2005-12-01;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
johannesen-a_2;Q115858267;FO;2022-12-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
steig-nielsen_1;Q70207330;FO;2019-09-16;2022-12-22;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
johannesen-a_1;Q20972153;FO;2015-09-15;2019-09-16;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
johannesen-k-l_2-2;Q5203949;FO;2013-09-09;2015-09-15;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
johannesen-k-l_2-1;Q5203949;FO;2011-11-14;2013-09-09;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE
johannesen-k-l_1-2;Q989048;FO;2011-04-06;2011-11-14;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
johannesen-k-l_1-1;Q989048;FO;2008-09-26;2011-04-06;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
eidesgaard_2;Q1212499;FO;2008-02-04;2008-09-26;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
eidesgaard_1;Q368075;FO;2004-02-03;2008-02-04;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
kallsberg_2;Q531981;FO;2002-06-06;2004-02-03;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
